Critic,5,100,FALSE,100,Austin Chronicle,Just about as great as a movie's ever gonna be... As for the storytellng, The Godfather is an intricately constructed gem that simultaneously kicks ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Swati,Inspired by the Five Families of New York City, The Godfather tells the story of how the Corleones are pushed against the wall by their rivals and other upcoming gangsters who want to make money by sources Don Vito deems beneath him, andInspired by the Five Families of New York City, The Godfather tells the story of how the Corleones are pushed against the wall by their rivals and other upcoming gangsters who want to make money by sources Don Vito deems beneath him, and their retaliation and its consequences. Alliances are formed in secret, murders are plotted, enemies are butchered or blown to pieces without remorse.  Don Vito (Marlon Brando) and his sons Sonny (James Caan) and Michael (Al Pacino) are the main characters. The actors bringing them to life have succeeded in their jobs so supremely that these characters have become the stuff of legend. Don Vito's backstory from the novel was pushed into The Godfather Part II, and that was a practical decision as the movie was already three hours long. Sonny and Michael display their acumen for running criminal activities when the reins are handed to them in their turn. Tom Hagen (Robert Duvall) is the consigliere, or the most trusted adviser, of the Don.  We are transported from 1940s NYC ripe with Mafia bosses one-upping each other, to Sicily and Las Vegas. The characters are never shown to traverse great expanses of land or sea in search of destiny or whatever. Neither are they shown to be engaging in life-or-death situations where they have to come out on top using their wits or physical strength or endurance. But the change of settings does meet the requirements of the epic genre. Even though we don't get to see large scale gunfights or something like that, the fact that the Corleones are in all these places helps to form that opinion. The story is essentially about a single family, and you get the impression that the message here is that family is important, and that the lengths you're willing to go to to protect them knows no bounds.  The Corleones' peace is fazed when a gangster offers them a deal in drugs. Don Vito expresses his disgust and refuses. This triggers an unexpected ploy for gaining power and upper hand and turns the conflict into a fully fledged gang war. Some characters are displaced, forced to take up arms, or caught in the crossfire. Another calamity strikes when things seem to have cooled down. Finally, the Corleones deal with their enemies effectively and ruthlessly. The victory is theirs, but if it is worth it is for the audience to decide.  The Godfather's success lies in its rich story and characters. Often times, great stories come about by accident. The setting complements the plot and the characters, and becoming a character itself, creates a blend that is greater than the sum of its parts. These characters and plot could quite easily have worked in a medieval setting of dynasties warring for control over a kingdom, or any other setting for that matter, but the fact that the setting was New York City and the control over the city meant control over the most lucrative criminal activities, which is a decadent scheme, and immediately paints even the good guys in a bad light, was what in my opinion made The Godfather much more intriguing and enduring.  There are many enemies to deal with. The film doesn't develop them at all. The Corleones are the only ones who are explored and developed as characters. At first it seems like it is a story of a group of people who have virtually everything they could ever want and the film would only chronicle their exploits as they vanquish this enemy and that. This changes as we move forward and witness the bloodshed.  No good movie can come into being without good plotting, believable characterization, classy cinematography and memorable dialogue, and here it is all brought together nigh perfectly. The production design was impressive. The houses and their interiors, and the cars and costumes were fascinating and left me with a desire to be able to witness that world firsthand. The secondary characters may not have seemed to be given much screen time to develop them but the cast is so huge that if they had done it the movie would have been at least an hour longer. The score is so simple and true to the story that you don't need me to tell you that it may be the most memorable score ever.  A lot of time is spent in contemplation and silence, as the characters decide what the best course of action should be in response to a particular problem. The dialogue fleshes out the characters very well. The Godfather is essentially a film that looks into the lives of the gangsters at the top of the hierarchy. We only see the comings and goings, and not the handiwork, of the men who carry out the orders of their bosses. No shootouts during the gang war are shown. The intrigue that directly affects the main characters is in itself so destructive and deadly that not once the exclusion of the ordinary mobsters bother me in any way.  The Godfather cannot be dismissed as being merely about a mob family and a bunch of criminals. Given his later career, I think it's safe to venture that Coppola was born to make this movie.,,,,,,,,,,
User,5,10,FALSE,10,ibadukefan,I'm not a writer or a critic so I can't really tell you why this movie is perfect... but I know it is because of how I feel every time I see it.  I'm moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,Karl7nitram,This review contains spoilers, click expand to view.                                                                                               The Godfather is simply the god of films, it was a privilege to watch the Oscar winning performance of Marlon Brando, who conquered the role Vito Corleone. The film was a different class and is filled with incredible plots that is delivered in a fantastic mafia way. I recommend it to everyone even if they aren't into the gangster style films, it was no doubt the greatest film ever made. Each character resonates with you and the brilliant anti-hero role of Michael Corleone was a true gift to watch, which Al Pacino does not get enough credit for and was a genius replacement for Vito his father who's character was very difficult to equal. The scene in the restaurant between Michael, Sollozzo and McCluskey was magnificent and couldn't have been done any better, the suspense was outstanding from the bit Michael came back with the gun to the part he left the table with bullets in both men. When talking about leading you into movies, the Godfather pulled you in straight away the acting from Brando was intriguingly flawless. The first scene straight away brought the character Vito Corleone to life! We were never sure what Vito would say or what Michael would do, or how Sonny would react, which made me fall in love with the movie. And of course a big hand to the director Francis Ford Coppola, who brought us a film of pure gold that bestows the control of power from one generation to the other and character development of Michael was something special, when his father was shot the change took you by storm and when Sonny died he looked past justice and finished what his father had started, it was displayed with no fault what so ever and t all in all could not have been any better. The film take's you down the road of the powerful family crime dynasty and will blow your mind. The Godfather, is an offer you can't refuse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Mosh603,The thing I love about The Godfather is the accurate portrayal of the mafia. There aren't gratuitous scenes or extreme Hollywood drama. It is a timeless classic, and honestly I have seen it 50+ times and never get sick of it. Marlon Brando'sThe thing I love about The Godfather is the accurate portrayal of the mafia. There aren't gratuitous scenes or extreme Hollywood drama. It is a timeless classic, and honestly I have seen it 50+ times and never get sick of it. Marlon Brando's performance as Vito Corleone is impeccable and some of the best acting I have ever seen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,9,jamiecusack,it might be a long movie but you dont want it to end. The best gangster film of all time no doubt marlon brando improvisation made this move,and the movie is joined with 2 other amazing films which makes it the best triolgy. Al pacino as perit might be a long movie but you dont want it to end. The best gangster film of all time no doubt marlon brando improvisation made this move,and the movie is joined with 2 other amazing films which makes it the best triolgy. Al pacino as per usual at his best its a young al  pacino that you see another rang of his brilliant acting skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,MovieManiac83,Rarely can it be said that a film has defined a genre, but never is that more true than in the case of The Godfather. Since the release of the 1972 epic (which garnered ten Academy Award nominations and was named Best Picture)," all ""gangsterRarely can it be said that a film has defined a genre", but never is that more true than in the case of The Godfather. Since the release of the 1972 epic (which garnered ten Academy Award nominations and was named Best Picture)," all ""gangster movies"" have been judged by the standards of this one (unfair as the comparison may be). If a film is about Jewish mobsters"," it's a ""Jewish Godfather""; if it's about the Chinese underworld"," it's an ""Oriental Godfather""; if it takes place in contemporary times"," it's a ""modern day Godfather.""  If The Godfather was only about gun-toting Mafia types", it would never have garnered as many accolades. The characteristic that sets this film apart from so many of its predecessors and successors is its ability to weave the often-disparate layers of story into a cohesive whole. Any of the individual issues explored by The Godfather are strong enough to form the foundation of a movie. Here, however, bolstered by so many complimentary themes, each is given added resonance. The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion.  Rarely does a film tell as many diverse-yet-interconnected stories. Strong performances, solid directing, and a tightly-plotted script all contribute to The Godfather's success. This motion picture was not slapped together to satiate the appetite of the masses; it was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual. Stereotypes did not influence Coppola's film, although certain ones were formed as a result of it.  Despite the likes of Serpico, Dog Day Afternoon, Scarface, ...And Justice for All, and Scent of a Woman on his resume, Pacino is best remembered for the role he created in The Godfather (and subsequently reprised in two sequels). While this is not his most demonstrative performance - indeed, he is exceptionally restrained - the quality of the script makes Michael Corleone notable.  Don Vito is a most complicated gangster. In his own words, he is not a killer," and he never mixes business with personal matters. He puts family first (""A man who doesn't spend time with his family can never be a real man"") and despises displays of weakness. He understands the burden of power"," and his wordless sympathy for Michael when he is forced to assume the ""throne""", is one of The Godfather's most revealing moments (about both father and son).  Family responsibility. A father's legacy. The need to earn respect. The corrupting influence of power. These are some of the ingredients combined in Francis Ford Coppola's cinematic blender. They are themes which have intrigued the greatest authors of every medium through the centuries.  Although the issues presented in The Godfather are universal in scope, the characters and setting are decidedly ethnic. Even to this day," there is an odd romanticism associated with New York's Italian crime families. The word ""Mafia"" conjures up images of the sinister and mysterious - scenes of the sort where Luca Brasi meets his fate. Francis Ford Coppola has tapped into this fascination and woven it as yet another element of the many that make his motion picture a compelling experience.  We come to The Godfather like Kay Adams - outsiders uncertain in our expectations - but it doesn't take long for us to be captivated by this intricate", violent world. The film can be viewed on many levels, with equal satisfaction awaiting those who just want a good story, and those who demand much more. The Godfather is long, yes - but it is one-hundred seventy minutes well-spent. When the closing credits roll, only a portion of the story has been told. Yet that last haunting image (Kay's shock of recognition), coupled with Nino Rota's mournful score, leaves a crater-like impression that The Godfather Part II only deepens.,,,,,,,
User,5,10,FALSE,10,CineFiles,Rarely can it be said that a film has defined a genre, but never is that more true than in the case of The Godfather. Since the release of the 1972 epic (which garnered ten Academy Award nominations and was named Best Picture)," all ""gangsterRarely can it be said that a film has defined a genre", but never is that more true than in the case of The Godfather. Since the release of the 1972 epic (which garnered ten Academy Award nominations and was named Best Picture)," all ""gangster movies"" have been judged by the standards of this one (unfair as the comparison may be). If a film is about Jewish mobsters"," it's a ""Jewish Godfather""; if it's about the Chinese underworld"," it's an ""Oriental Godfather""; if it takes place in contemporary times"," it's a ""modern day Godfather.""  If The Godfather was only about gun-toting Mafia types", it would never have garnered as many accolades. The characteristic that sets this film apart from so many of its predecessors and successors is its ability to weave the often-disparate layers of story into a cohesive whole. Any of the individual issues explored by The Godfather are strong enough to form the foundation of a movie. Here, however, bolstered by so many complimentary themes, each is given added resonance. The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion.  Rarely does a film tell as many diverse-yet-interconnected stories. Strong performances, solid directing, and a tightly-plotted script all contribute to The Godfather's success. This motion picture was not slapped together to satiate the appetite of the masses; it was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual. Stereotypes did not influence Coppola's film, although certain ones were formed as a result of it.  Despite the likes of Serpico, Dog Day Afternoon, Scarface, ...And Justice for All, and Scent of a Woman on his resume, Pacino is best remembered for the role he created in The Godfather (and subsequently reprised in two sequels). While this is not his most demonstrative performance - indeed, he is exceptionally restrained - the quality of the script makes Michael Corleone notable.  Next to Humphrey Bogart's Rick from Casablanca," Oscar winner Marlon Brando's Don Vito may be the most imitated character in screen history. The line ""I'm gonna make him an offer he can't refuse"" has attained legendary status", as has the entire performance. With his raspy voice, deliberate movements, and penetrating stare, Brando has created a personae that will be recalled for as long as motion pictures exist.  The Godfather had three Best Supporting Actor nominees, all well-deserved. The first was Pacino (who probably should have been nominated alongside Brando in the Best Actor category). The other two were James Caan and Robert Duvall. In a way, it's surprising that Duvall wasn't passed over. His presence in The Godfather isn't flashy or attention-arresting. Like his character of Tom Hagen, he is steady, reliable, and stays in the background. Not so for Caan's Sonny, whose demonstrative and volatile personality can't be overlooked.  Family responsibility. A father's legacy. The need to earn respect. The corrupting influence of power. These are some of the ingredients combined in Francis Ford Coppola's cinematic blender. They are themes which have intrigued the greatest authors of every medium through the centuries.  Although the issues presented in The Godfather are universal in scope, the characters and setting are decidedly ethnic. Even to this day," there is an odd romanticism associated with New York's Italian crime families. The word ""Mafia"" conjures up images of the sinister and mysterious - scenes of the sort where Luca Brasi meets his fate. Francis Ford Coppola has tapped into this fascination and woven it as yet another element of the many that make his motion picture a compelling experience.  We come to The Godfather like Kay Adams - outsiders uncertain in our expectations - but it doesn't take long for us to be captivated by this intricate", violent world. The film can be viewed on many levels, with equal satisfaction awaiting those who just want a good story, and those who demand much more. The Godfather is long, yes - but it is one-hundred seventy minutes well-spent. When the closing credits roll, only a portion of the story has been told. Yet that last haunting image (Kay's shock of recognition), coupled with Nino Rota's mournful score, leaves a crater-like impression that The Godfather Part II only deepens.
User,5,10,FALSE,10,DunkAss,The direction of Francis is marvellous, the acting of Al Pacino is outstanding and the script is the best written of all time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,5,OliverC.,It's pretty boring, all the characters are unlikable. It's hard to relate to a movie when all you want is for the main characters to stop doing things.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,8,grandpajoe6191,The Godfather is one of the few gangster films that connects the members of the Mafia as a family. The cinematography is rich and the music is perfect. However," I failed to see how Marlon Brando's performance was top notch. His acting was""The Godfather"" is one of the few gangster films that connects the members of the Mafia as a family. The cinematography is rich and the music is perfect. However"," I failed to see how Marlon Brando's performance was top notch. His acting was decent; he did not move much nor talk much. His voice also was barely understandable due to his croaking voice mumbling what sounded like English. Ultimately ""The Godfather"" still stands up as the best movie in the American crime genre.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,mason4tado,Great script writing can't make up for it's boring storyline and slow pacing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,WilliamD.,Godfather isn't a terrible movie. On the contrary, its a movie with a ton of unrealized potential that executes with the grain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,KaptainHutchino,I would say The Godfather is very overrated. It has terribly tedious delivery, and is basically just three hours of guys in suits sitting at a table talking about business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Christopher_G2,This is certainly one of the greatest movies ever made. It's such amazingly well-acted, well-written movie with an epic story line that takes you through many themes like love, sadness, loyalty, revenge and betrayal is such an encompassingThis is certainly one of the greatest movies ever made. It's such amazingly well-acted, well-written movie with an epic story line that takes you through many themes like love, sadness, loyalty, revenge and betrayal is such an encompassing and totally believable way. I will never get tired of watching this masterpiece.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,8,KarthXLR,Fantastic film, although rather overrated. The characters are almost perfect, the story is almost perfect, and the dialogue is almost perfect. Everything else is just good. No more, no less.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,deltapatrick,hell i dont even need to write a review for this movie everything was perfect! but since i need 150 charecters i will give tiny details this movie has great great acting the story is beutiful and everything else is amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,edlitz36,Truly one of Hollywood's greatest achievements. It may take a few viewings to fully grasp the film. I certainly didn't care for it on my first viewing. But it will gradually pull you in with each viewing. 4-star Classic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,chardr69,An American classic, and one of the greatest film's ever made. Director Francis Ford Coppola's masterpiece, based on Mario Puzo's bestselling novel starring Marlon Brando, Al Pacino, James Caan, Robert Duvall and Diane Keaton. The filmAn American classic, and one of the greatest film's ever made. Director Francis Ford Coppola's masterpiece, based on Mario Puzo's bestselling novel starring Marlon Brando, Al Pacino, James Caan, Robert Duvall and Diane Keaton. The film chronicles a ten year span (1945 to 1955) in the life of the Italian-American Corleone crime family of New York City. Won the 1972 Academy Award for Best Picture, Best Actor (Brando) and Best Adapted Screenplay (Coppola and Puzo).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,10,canyouflyray,A cinematic masterpiece.  In the top 100 movies list for a reason.  For those people (You know who you are and I'm not going to individually name you) who gave this movie a bad review, simply put you have no brain or very simple minded maybeA cinematic masterpiece.  In the top 100 movies list for a reason.  For those people (You know who you are and I'm not going to individually name you) who gave this movie a bad review, simply put you have no brain or very simple minded maybe brain dead moron movies like Freddy got Fingered or Dumb and Dumberer (yes the prequel to Dumb and Dumber because the first movie might be way to complicated for you) is better suited for you.  This is why I hate forums like this because some idiots of the world need some face punching for their insulting stupidity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,10,TheDaveHimself,As epic as you can possibly get. Combined with Part II (I recommend watching back to back in one sitting), there is no way you can top the film-making here. Some of the most memorable characters and dialogue to ever hit the silver screen.As epic as you can possibly get. Combined with Part II (I recommend watching back to back in one sitting), there is no way you can top the film-making here. Some of the most memorable characters and dialogue to ever hit the silver screen. Marlon Brando's career was gold even before this, but this applies him for sainthood. Robert Duvall and James Caan are fantastic and Al Pacino broods well among these great actors. Francis Ford Coppola created a masterpiece here (and then he did it again with Apocalypse Now). It's possible he owned the 70's.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,j30,You hear all this hype surrounding The Godfather," such as ""it's a masterpiece"," and the movie is included in countless critics and moviegoers top 10 movies of all time. I'm afraid they're right. The movie is a masterpiece and a beautifulYou hear all this hype surrounding The Godfather, such as it's a masterpiece",, and the length of the film was just the icing. It should have ended about 3 times before it did finally end.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,0,BlaP.,very very over rated movie and could not get into it i would give it a 7 but beacsue its supposed to be the best movie of all time and kinda sucked it get 0 points from me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,6,PabloR.,"Over rated!! WOW. Was that booooooring... Only reason it has a decent score is because i guess it was one of those boring movies that you don't like but since everyone thinks they're good.. ""Its good."" But it's not really good.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,Jobel,why watch the godfather when you can watch alvin and the chipmunks: the squekqual? really disappointing smh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,5,JoshC,This movie isn't what i expected, I couldn't sit and watch it for 3 hours, true the acting was good but its 3 hours of boredom if you ask me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,PhilipB,The first part is ok, but kept falling asleep for the rest of it, and never even made it to part three. One of the most boring movies I've ever tried to sit through.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,GG.,Brando is awful in this, he mumbles so he doesn't have to do an accent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,2,4,TRUE,0,JamesK,Did not care for it. It insists upon itself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,0,TomZ.,HORRIBLE FILM!! so boring, this metascore is clearly rigged, it is impossible for 100, as that means absolutely everyone rated it perfect! Grrr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,3,NickP,Too overrated.either the the revievers were paid to give it good scores or they were threatened by the mob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,5,PatR,It's funny. I just read Zach B's comment. And guess what buddy? I was born in 1994. So take that. Anyway, I thought this movie was okay. I'm sure it was good at the time, but should it really be considered the greatest film of It's funny. I just read Zach B's comment. And guess what buddy? I was born in 1994. So take that. Anyway, I thought this movie was okay. I'm sure it was good at the time, but should it really be considered the greatest film of all time? Films like Die Hard were good at the time, and are STILL good today, and yet no one considers THAT the greatest movie of all time. Godfather, in general, seems very tame compared to many modern films such as Changeling. I can understand why adults think it's the greatest film of all time, but it just isn't my cup of tea. I never did like classic films unless they have something good in them other then the fact that they're classic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,AndrewK.,This is the movie that everybody argues is better than Scarface? Scarface blows this dumbass movie to hell. This is a true borefest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Moviebuffreview,An excellent adapted script, an unforgettable ensemble, an amazing score, excellent quotes, and unforgettable moments, The Godfather is nothing short of a masterpiece!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,0,steventrouble,This is the only movie I've ever watched that has put me to sleep. I imagine that the entire movie could have been put into about 1/8th the time and still have retained all of its meaning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,2,4,FALSE,3,JoeF,Masterpiece of $&!%. The ratio of 10 ratings is a excellent example of how dependent peoples minds are on the status quo. If you were to watch this movie without ever hearing about it you would most likely find it to be a well scripted dull Masterpiece of $&!%. The ratio of 10 ratings is a excellent example of how dependent peoples minds are on the status quo. If you were to watch this movie without ever hearing about it you would most likely find it to be a well scripted dull movie and nothing more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,ZachS.,Wow. That's all I have to say, this film was just horribly overrated.... I mean it's not a bad film or anything, but it is too boring and none of the characters are really likable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,0,RyanJ.,"I don't know where all of you get off. ""Oh I like The Godfather.. you know", and The Beatles, and bread, and water," and breathing"" please can we get out of the mentality that we have to venerate this movie. Sure. Watch it once. Recall I don't know where all of you get off. ""Oh I like The Godfather.. you know", and The Beatles, and bread, and water," and breathing"" please can we get out of the mentality that we have to venerate this movie. Sure. Watch it once. Recall that the baby boomer generation will revere it until they die off. I say at that point we don't show this movie to kids born in the 21st century. next!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,DavidC.,Ok if by 100 you mean its worth seeing if you get paid $100 dollars but I would not even see it again for that much worse time of my life and the only reason i didn't leave is because it was raining out side. This movie was the worse I Ok if by 100 you mean its worth seeing if you get paid $100 dollars but I would not even see it again for that much worse time of my life and the only reason i didn't leave is because it was raining out side. This movie was the worse I hope critics get shot for saying other wise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,4,ShawnM.,Mumbling Brando is what he should be called. I just didn't see what the big deal was about. I like period movies, dramas, etc., so I thought I would love this film. It left me completely unmoved. Which made it even more confusing - why Mumbling Brando is what he should be called. I just didn't see what the big deal was about. I like period movies, dramas, etc., so I thought I would love this film. It left me completely unmoved. Which made it even more confusing - why the raving critical praise? So I rated it below grade because I felt my time was robbed from me. I've seen better crime films and dramas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,TRUE,5,BobN,Godfather is NOT the best film ever made (waiting for the plague.) Highly over praised. It is exactly like Apocolypse Now- has moments of greatness- but holy crap is it boring. Brando is commical. Pacino is Pacino starring as Pacino in the Godfather is NOT the best film ever made (waiting for the plague.) Highly over praised. It is exactly like Apocolypse Now- has moments of greatness- but holy crap is it boring. Brando is commical. Pacino is Pacino starring as Pacino in the role of Pacino. I think people love this film soley due to the title: Godfather. Imgaine if the film was called: Second Cousin, or Younger Sister. Nope, had to go with God. Anyways, yeah, this movie...it's an overbloated corpse floating in an L.A. drain pipe...interesting to look at but not for too long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,JimBobJones,The most overrated and boring thing i have ever seen. It was just a bunch of stuff that happened for three hours. No point, no meaning, no feeling. Get off the bandwaggon!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,2,4,TRUE,0,OverRated,Completely over rated ... nuff said.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
